user,movie,prediction
53,148,
4169,148,3.07741475105
5333,148,2.59089779854
4387,148,2.10258769989
840,148,2.66301059723
216,148,
482,148,
752,148,2.94216632843
424,148,
970,463,2.800760746
4169,463,2.40892720222
26,463,
319,463,
202,463,
721,463,3.27531051636
331,463,
524,463,
1962,463,2.05363035202
934,463,2.17862582207
1088,471,3.34860634804
392,471,
516,471,
1265,471,
4186,471,2.81660413742
588,471,
78,471,
796,471,3.09108448029
1500,471,3.95950913429
4958,471,3.28695464134
1243,471,3.4597697258
406,471,
587,471,
26,471,
743,471,3.38907527924
2168,471,3.99739074707
409,471,
5333,471,3.29492926598
2127,471,3.39748382568
319,471,
157,471,
232,471,
539,471,
1505,471,3.75862622261
1425,471,4.17453241348
132,471,
386,471,
146,471,
1491,471,3.29324388504
3648,471,2.91350603104
631,471,
442,471,
1952,471,3.81683635712
1242,471,3.7303416729
839,471,4.00989532471
2880,471,3.47279262543
692,471,4.45091915131
402,471,
415,471,
2627,471,3.18705010414
425,471,
1530,471,3.86695933342
3285,471,3.62792396545
4478,471,3.66482567787
5874,471,3.78446602821
2841,471,3.9478764534
3401,471,3.07259321213
461,471,
462,471,
4809,471,3.49689292908
2926,471,3.08906984329
1211,471,3.7090575695
175,471,
1698,471,3.97937107086
2271,471,3.70133733749
721,471,2.77812623978
1386,471,4.20448875427
698,471,3.82208538055
326,471,
5938,471,4.03653287888
981,471,3.52310562134
549,471,
2436,471,3.80608391762
136,471,
331,471,
428,471,
2333,471,3.49624300003
3821,471,3.00901508331
438,471,
3430,471,2.97934222221
533,471,
509,471,
293,471,
5172,471,3.09278869629
216,471,
1447,471,3.87767744064
3462,471,3.40228056908
408,471,
1897,471,3.37281036377
95,471,
482,471,
2453,471,3.1755604744
528,471,
214,471,
550,471,
1079,471,3.4303483963
352,471,
752,471,3.44894385338
90,471,
371,471,
151,471,
433,471,
1383,471,3.22240686417
478,471,
1842,471,4.1265130043
58,471,
369,471,
541,471,
1228,471,3.51388764381
424,471,
454,471,
1448,471,3.22738027573
242,471,
1983,471,3.97363567352
566,471,
149,471,
294,471,
302,471,
1202,471,3.31106805801
3312,471,3.32417154312
628,471,
1584,471,3.32808852196
2282,471,4.1134057045
4602,471,3.30004501343
934,471,3.11470079422
5565,471,3.77766489983
4607,471,3.81823730469
187,471,
1291,496,3.2187230587
1952,496,3.31582212448
3080,496,3.23735046387
1635,496,3.62596750259
17,496,
1698,496,3.71964550018
5394,496,3.12835216522
864,496,2.86706495285
4169,833,1.85181641579
2015,833,2.66680002213
329,833,
3792,833,2.2068169117
2168,833,3.41182327271
22,833,
1425,833,2.14106273651
355,833,
1516,833,2.44119930267
770,833,1.96697378159
1779,833,2.23427820206
438,833,
2077,833,2.10051107407
543,833,
1647,833,1.99495196342
293,833,
1447,833,2.10020804405
2116,833,2.56967830658
621,833,
5394,833,2.12968039513
242,833,
148,1088,
